[2026-03-06T05:46:00.393527][INFO] 配置已更新: console_log=error retry_mode=polling
[2026-03-06T05:46:23.669901][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 208ms
[2026-03-06T05:46:23.698549][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 237ms
[2026-03-06T05:46:23.740759][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 280ms
[2026-03-06T05:46:23.756314][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 295ms
[2026-03-06T05:46:23.759334][INFO] 轮检完成 | 总:136 [v4:106 v6:30] | 在线:135 [v4:105 v6:30]
[2026-03-06T05:46:53.779683][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T05:46:53.825076][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 40ms
[2026-03-06T05:46:53.937540][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 159ms
[2026-03-06T05:46:53.942461][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 163ms
[2026-03-06T05:46:53.943768][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 166ms
[2026-03-06T05:46:53.944377][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.95) 158ms
[2026-03-06T05:46:53.944796][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 167ms
[2026-03-06T05:46:53.946013][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 166ms
[2026-03-06T05:46:53.946376][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 169ms
[2026-03-06T05:46:53.948536][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 161ms
[2026-03-06T05:46:53.948856][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.189) 164ms
[2026-03-06T05:46:53.949426][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 169ms
[2026-03-06T05:46:53.950664][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 173ms
[2026-03-06T05:46:53.951037][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 170ms
[2026-03-06T05:46:53.951378][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 173ms
[2026-03-06T05:46:53.951438][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.224) 166ms
[2026-03-06T05:46:53.952154][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 164ms
[2026-03-06T05:46:53.952091][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 163ms
[2026-03-06T05:46:53.952819][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 164ms
[2026-03-06T05:46:53.952876][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T05:46:53.953480][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.249) 164ms
[2026-03-06T05:46:53.953535][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.229) 167ms
[2026-03-06T05:46:53.953572][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.3) 169ms
[2026-03-06T05:46:53.953607][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 166ms
[2026-03-06T05:46:53.954681][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 174ms
[2026-03-06T05:46:53.954959][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 171ms
[2026-03-06T05:46:53.955010][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 163ms
[2026-03-06T05:46:53.955626][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 178ms
[2026-03-06T05:46:53.955686][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 178ms
[2026-03-06T05:46:53.955723][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.121) 169ms
[2026-03-06T05:46:53.956006][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.100) 169ms
[2026-03-06T05:46:53.956993][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.209) 172ms
[2026-03-06T05:46:53.957047][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.171) 168ms
[2026-03-06T05:46:53.957087][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 169ms
[2026-03-06T05:46:53.958044][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.15) 172ms
[2026-03-06T05:46:53.958417][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.232.104) 172ms
[2026-03-06T05:46:53.958745][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 178ms
[2026-03-06T05:46:53.959119][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.231.222) 174ms
[2026-03-06T05:46:53.959180][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.152) 169ms
[2026-03-06T05:46:53.959217][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 181ms
[2026-03-06T05:46:53.960314][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 168ms
